"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"75056.140654748","0","CLICK User:6 Request:41"
"75058.2037661211","0","CLICK User:1 Request:60"
"75064.9998812698","0","CLICK User:7 Request:37"
"75066.5321989247","0","CLICK User:11 Request:22"
"75242.7906340052","0","CLICK User:15 Request:7"
"75289.5912748687","0","CLICK User:10 Request:26"
"75291.1942718977","0","CLICK User:5 Request:45"
"75294.7522660003","0","CLICK User:4 Request:49"
"75352.4649082495","0","CLICK User:14 Request:11"
"75491.260760795","0","CLICK User:3 Request:53"
"75573.5195394945","0","CLICK User:8 Request:34"
"75581.4322770073","0","CLICK User:9 Request:30"
"75723.3243331205","0","CLICK User:13 Request:15"
"75853.9887052684","0","CLICK User:2 Request:57"
"76011.217068091","0","CLICK User:16 Request:4"
"76171.3469169964","0","CLICK User:12 Request:19"
"76353.9025211305","0","CLICK User:6 Request:42"
"76356.7551183181","0","CLICK User:1 Request:61"
"76364.5535954989","0","CLICK User:7 Request:38"
"76368.9524785971","0","CLICK User:11 Request:23"
"76517.0014624764","0","CLICK User:15 Request:8"
"76560.5511314986","0","CLICK User:5 Request:46"
"76576.4084541471","0","CLICK User:10 Request:27"
"76586.0261569557","0","CLICK User:4 Request:50"
"76620.6378184937","0","CLICK User:14 Request:12"
"76761.1274617305","0","CLICK User:3 Request:54"
"76836.4996109841","0","CLICK User:8 Request:35"
"76843.1585578614","0","CLICK User:9 Request:31"
"76978.7626639699","0","CLICK User:13 Request:16"
"77063.088185789","0","CLICK User:17 Request:1"
"77173.4273490066","0","CLICK User:2 Request:58"
"77272.8743457618","0","CLICK User:16 Request:5"
"77436.0568172771","0","CLICK User:12 Request:20"
"77652.7888321002","0","CLICK User:6 Request:43"
"77662.9230810061","0","CLICK User:1 Request:62"
"77676.3870827158","0","CLICK User:7 Request:39"
"77680.1937117706","0","CLICK User:11 Request:24"
"77797.4924187292","0","CLICK User:15 Request:9"
"77850.4027746543","0","CLICK User:5 Request:47"
"77870.2203771708","0","CLICK User:10 Request:28"
"77880.0707911201","0","CLICK User:4 Request:51"
"77898.4756442509","0","CLICK User:14 Request:13"
"78032.504969207","0","CLICK User:3 Request:55"
"78098.6829331661","0","CLICK User:8 Request:36"
"78106.7180325991","0","CLICK User:9 Request:32"
"78240.6532115115","0","CLICK User:13 Request:17"
"78323.943406215","0","CLICK User:17 Request:2"
"78443.5069261596","0","CLICK User:2 Request:59"
"78535.009337779","0","CLICK User:16 Request:6"
"78693.087529281","0","CLICK User:12 Request:21"
"78938.9028493845","0","CLICK User:6 Request:44"
"78960.8011632763","0","CLICK User:7 Request:40"
"78961.0721474377","0","CLICK User:11 Request:25"
"78961.257645874","0","CLICK User:1 Request:63"
"79084.9864996808","0","CLICK User:15 Request:10"
